entity,label,frequency
Trade,ORG,1716
England,GPE,882
Kingdom,GPE,561
Great Britain,GPE,302
Holland,GPE,266
France,GPE,258
Exchange,ORG,238
Nation,ORG,234
Nations,ORG,225
London,GPE,218
Spain,GPE,205
Countries,ORG,194
Usury,ORG,190
State,ORG,179
Ships,ORG,177
Commonwealth,ORG,174
Lands,GPE,173
Kingdome,GPE,168
Portugal,GPE,157
Turkey,GPE,150
Realm,GPE,149
India,GPE,146
Italy,GPE,137
the East Indies,ORG,136
America,GPE,131
Commodities,ORG,129
Commerce,ORG,127
Riches,ORG,105
Staple,ORG,98
Parliament,ORG,93
Merchants,ORG,90
Estates,GPE,80
Germany,GPE,80
Company,ORG,80
Customs,ORG,77
Christendom,ORG,76
Ireland,GPE,75
Treatise,ORG,74
Commodity,ORG,71
Scotland,GPE,71
Bills,ORG,69
Foreign Trade,ORG,60
Navigation,ORG,60
Indies,ORG,59
Gouernment,ORG,57
Ports,ORG,57
Kingdome,ORG,54
Russia,GPE,52
Money,ORG,51
Britain,GPE,50
the East-Indies,ORG,49
Gentleman,ORG,46
Mariners,ORG,44
Traffic,ORG,43
Indigo,ORG,40
Par,ORG,40
Great,GPE,39
China,GPE,38
Neighbours,ORG,38
Danes,ORG,38
bee,ORG,37
States,GPE,37
Pepper,ORG,36
Shipping,GPE,36
Virginia,GPE,36
Venice,GPE,34
Land,ORG,34
the Ballance of Trade,ORG,33
Annum,ORG,33
Ballance,ORG,33
Families,ORG,32
Island,GPE,32
Mint,ORG,32
the Abatement of Interest,ORG,30
Amsterdam,GPE,30
Kingdoms,GPE,30
Colonies,GPE,29
Society,ORG,29
Houses,ORG,28
Clothes,ORG,28
Poland,GPE,27
Persia,GPE,27
Manufacture,ORG,27
Bullion,ORG,27
Sugar,GPE,26
Price,ORG,26
Netherlands,GPE,26
Shipping,ORG,25
Trade and Shipping,ORG,25
Clothiers,ORG,24
Centre,GPE,24
Newfoundland,GPE,24
Coin,ORG,23
Kingdomes,ORG,23
Kings,ORG,23
Interest of Money,ORG,23
Countries,GPE,23
the Trade of England,ORG,22
Herrings,GPE,22
Misselden,ORG,22
Navy,ORG,22
Absentees,GPE,22
Bankers,ORG,22
the Church of Rome,ORG,21
Fuller,ORG,21
Lisbon,GPE,21
the Interest of Money,ORG,21
Usury,GPE,21
Norway,GPE,21
Merchandize,GPE,20
Clothier,ORG,20
Monies,ORG,20
Interest,ORG,20
Edinburgh,GPE,20
Rome,GPE,20
Answer,ORG,20
Companies,ORG,20
the Balance of Trade,ORG,19
Public,ORG,19
the West-Indies,ORG,19
Estate,ORG,19
Wood,ORG,19
Hamburgh,GPE,19
Wisdom,ORG,19
the Natiue Commodities,ORG,19
Letters,ORG,19
Impositions,ORG,19
Zealand,GPE,19
Netherlanders,ORG,19
Drapery,ORG,19
Truth,GPE,18
Silks,ORG,18
Army,ORG,18
Authority,ORG,18
the East India Company,ORG,18
Freight,ORG,18
Usurers,ORG,18
Preface,ORG,18
Scrutiny,ORG,18
Surrat,ORG,18
Ballance of Trade,ORG,18
Land,GPE,17
Specie,GPE,17
Liberty,ORG,17
Divines,ORG,17
Paris,GPE,17
Dominions,ORG,17
Traffic and Commerce,ORG,17
Order and Gouernment,ORG,17
Greenland,GPE,17
Religion,ORG,17
Retainers,GPE,16
Bombay,GPE,16
Doors,ORG,16
Committees,ORG,16
East Indies,ORG,16
National,ORG,16
Honour,ORG,16
King's,ORG,16
Flanders,GPE,16
Practice,ORG,16
Denmark,GPE,16
House,ORG,16
Bank,ORG,16
Eastland,GPE,15
Egypt,GPE,15
Foreign Commodities,ORG,15
Cause,ORG,15
Planting,GPE,15
Nobility,ORG,15
the West Indies,GPE,15
Tobacco,ORG,14
Gouernment in Trade,ORG,14
Balance of Trade,ORG,14
Time,ORG,14
Sons,ORG,14
Hollanders,ORG,14
Naval,GPE,14
Farmers,ORG,14
the East-India Company,ORG,14
Arts,ORG,14
Home,ORG,14
Rochel,GPE,13
Education,ORG,13
Reuenue,GPE,13
Question,ORG,13
Borrower,ORG,13
Strength,ORG,13
Eyes,ORG,13
Port,GPE,13
Markets,ORG,13
Barbadoes,GPE,13
Taxes,ORG,13
Hambrough,GPE,13
the Trade of the East-Indies,ORG,13
Maryland,GPE,13
Town,GPE,13
Times,ORG,12
Christendome,GPE,12
Trade and Commerce,ORG,12
Towns,ORG,12
Cloves,ORG,12
Sweden,GPE,12
Shipwrights,GPE,12
Corporation,ORG,12
Callings,ORG,12
Wools,ORG,12
Wealth,GPE,12
Sun,ORG,12
Slaves,ORG,12
Interest,GPE,12
the Cloth Trade,ORG,12
Florence,ORG,12
Guiny,ORG,12
the Interest of other Nations to Trade,ORG,12
Particulars,ORG,12
Letters Patents,ORG,12
Labour,ORG,12
Newcastle,GPE,12
Justice,ORG,12
Old,ORG,11
Gentlemen and Merchants,ORG,11
the Trade of India,ORG,11
Nutmegs,ORG,11
the King's Subjects,ORG,11
Pirates,GPE,11
Genova,GPE,11
Hamburg,GPE,11
World,ORG,11
the Dominions of the King of Spaine,ORG,11
Traffic and Trade,ORG,11
the Turkey Company,ORG,11
East-India Company,ORG,11
the Merchants-Adventurers,ORG,11
Seamen,GPE,11
the Trade of this Kingdome,ORG,11
the City of London,GPE,11
Ouer,ORG,11
Par of Exchange,ORG,11
Profit,ORG,11
Porters,ORG,11
Velvets,GPE,11
Jamaica,GPE,10
the Trade of the World,ORG,10
Tinne,GPE,10
Vsury,ORG,10
Tools,ORG,10
Hands and Stock,ORG,10
the Forme of Trade,ORG,10
Japan,GPE,10
Fathers,ORG,10
Gold & Silver,ORG,10
The Trade of Denmark,ORG,10
Tenderness &,ORG,10
Tallow,GPE,10
Company of Merchants,ORG,10
Consequence,ORG,10
Consideration,ORG,10
Custom,ORG,10
Customes,ORG,10
Cuſtomes,ORG,10
Strangers,GPE,10
"Shipwrights, Butchers, Brewers, Bakers,",ORG,10
Seals,ORG,10
Emergencies of State and War,ORG,10
Indostan,GPE,10
the New Trades,ORG,10
Profession,ORG,10
Notion,ORG,10
this Kingdom of England,GPE,10
"the Trade, Multitudes of People",ORG,10
this Ballance of Trade,ORG,10
Bulloin,GPE,10
the West Indies,ORG,10
Beginners,ORG,10
the Turkey Merchants,ORG,10
the Turkey-Company,ORG,10
Mother-Kingdoms,ORG,9
Brazil,GPE,9
New-England,GPE,9
Efficient,ORG,9
the Wisdom of Parliament,ORG,9
the Decay of Trade,ORG,9
Interlopers,ORG,9
Foreign Goods,ORG,9
the Protestant Religion,ORG,9
Foundation,ORG,9
Athens,GPE,9
Spice,GPE,9
Christendome,ORG,9
Westminster,GPE,9
Council,ORG,9
Commodity,GPE,9
Vessels,ORG,9
Serges,ORG,9
Pag,ORG,9
Measure,ORG,8
Country where Interest of Money,ORG,8
Countrymen,GPE,8
the Trade of Begging,ORG,8
Magistrates,ORG,8
Court-Merchant,ORG,8
the House of Parliament,ORG,8
Advantages of Industry and Frugality,ORG,8
the Lands and Trade of England,ORG,8
Sine,ORG,8
Craven,ORG,8
Silver,GPE,8
Millions,ORG,8
Towns of Trade,ORG,8
Barbadoes Sugars,ORG,8
the Rent of Farms,ORG,8
Fundamental,ORG,8
Merchandise,GPE,8
Staplers,GPE,8
Country,ORG,8
Light,ORG,8
the United Provinces,ORG,8
Communibus,ORG,8
Sutton,GPE,8
the European World,ORG,8
Legorn & Genoa,ORG,8
Compass,ORG,8
the Sugar-Bakers,ORG,8
Sunne,ORG,8
Sugars,GPE,8
Sugar-Bakers,ORG,8
Lex Mercatoria,GPE,8
the Trade & Market,ORG,8
Greece,GPE,8
Considerations,ORG,8
Hands,ORG,8
Streets,GPE,8
Woods,ORG,8
Stock in Trade,ORG,8
the East India Trade,ORG,8
The Turkey Merchants,ORG,8
Bayes,ORG,8
State and Trade,ORG,8
Climates,GPE,8
St Vuall,GPE,8
Custom,GPE,8
Customers,ORG,8
Money,GPE,8
the Baltique Seas,ORG,8
Foreigners,ORG,8
National Profit,ORG,8
Native Commodities,ORG,8
Sentiments,ORG,8
Industrious Neighbours,ORG,8
the Merchants-Aduenturers,ORG,8
Professions,ORG,8
Ingenious Men,ORG,8
Turkey Merchants,ORG,8
Notions,ORG,8
Cent,ORG,8
Reformation,GPE,8
Perpetuanoes,ORG,8
Interest in Trade,ORG,8
the Centre of Commerce,ORG,8
Universe,ORG,8
the Fruits of the Earth,ORG,8
Cause,GPE,8
People and Commodities,ORG,8
Parishioners,ORG,8
Build,GPE,8
Party,ORG,8
Bankrupt,ORG,8
Honour,GPE,8
Trade to England,ORG,8
this Trade for England,ORG,8
Salt,GPE,8
Cities and Trading Towns,ORG,8
Capital,GPE,8
Improvement of Ireland,GPE,8
Mother Kingdom,GPE,8
Monopolies,GPE,8
Debts,GPE,8
Royal,ORG,8
Money at Interest,ORG,8
fed,ORG,8
Delinquent,ORG,8
Retreat,ORG,8
Treasure,GPE,8
Monopoly,GPE,8
Leghorn,GPE,7
Salt-Petre,GPE,7
Crown,ORG,7
the English Merchants,ORG,7
Pari,ORG,7
Parity,ORG,7
Salt,ORG,7
Buyers,ORG,7
Mariners,GPE,7
Covetousness,ORG,7
Wines,GPE,7
Peru,GPE,7
Linen,ORG,7
Poorer,ORG,7
Lixborne,GPE,7
Flanders,ORG,7
Print,GPE,7
