doc_id,word,n,tf,idf,tf_idf
B14801,haue,86,0.010566408649711267,2.4423470353692043,0.02580683684012183
B14801,kingdome,75,0.009214891264283081,2.4423470353692043,0.022505962360571362
B14801,vpon,57,0.007003317360855142,2.4423470353692043,0.017104531394034235
B14801,forreine,44,0.005406069541712741,2.4423470353692043,0.013203497918201865
B14801,gouernment,42,0.005160339107998526,2.4423470353692043,0.012603338921919964
B14801,maiesties,37,0.004546013023712987,2.4423470353692043,0.011102941431215206
B14801,alphabet,34,0.0041774173731416635,2.4423470353692043,0.010202702936792351
B14801,vnder,33,0.004054552156284556,2.4423470353692043,0.0099026234386514
B14801,subiects,32,0.003931686939427448,2.4423470353692043,0.009602543940510449
B14801,bee,51,0.006266126059712496,1.5260563034950492,0.009562461171918848
B14801,christendome,30,0.003685956505713233,2.4423470353692043,0.009002384944228545
B14801,doe,28,0.003440226071999017,2.4423470353692043,0.008402225947946642
B14801,publique,27,0.003317360855141909,2.4423470353692043,0.00810214644980569
B14801,owne,25,0.0030716304214276936,2.4423470353692043,0.007501987453523787
B14801,euery,22,0.0027030347708563705,2.4423470353692043,0.0066017489591009325
B14801,selfe,22,0.0027030347708563705,2.4423470353692043,0.0066017489591009325
B14801,vnto,22,0.0027030347708563705,2.4423470353692043,0.0066017489591009325
